kata_tidak_baku,kata_baku
rumh,rumah
bantuany,bantuannya
ngotak,berpikir
lok,lokasi
last,terakhir
gokil,gila
warning,peringatan
remember,ingat
bustruk,bus truk
chatan,obrolan
apus,hapus
benarin,perbaiki
benahin,benahi
aktip,aktif
impormasi,informasi
hpku,ponselku
mleset,meleset
latest,terbaru
didaerah,di daerah
sbgai,sebagai
click,klik
restaurant,restoran
way,jalan
diarah,di arah
berbulanbulan,berbulan-bulan
abdate,update
friends,teman
donlot,unduh
ngulas,mengulas
mabok,mabuk
mafmantabbermartabat,maaf mantap bermartabat
yesd,ya
desert,dessert
direspon,direspons
tifak,tidak
menyesesuaikan,menyesuaikan
apadate,update
mununjukan,menunjukkan
arahkanjangan,arahkan jangan
terikasih,terima kasih
loncatloncat,loncat-loncat
nitik,menandai titik
baguspelayanan,bagus pelayanan
memuaskatsukses,memuaskan sukses
kreta,kereta
lokasinyarute,lokasinya rute
banya,banyak
hahahahambat,hambat
mapsx,mapsnya
naps,maps
aqkura,akurat
dikmpung,di kampung
smua,semua
menungu,menunggu
jauhsering,jauh sering
ngajak,mengajak
muteryang,putar yang
kenapasaya,kenapa saya
unstal,copot pemasangan
belm,belum
mbuat,membuat
kelabakan,bingung
dmn,dimana
pekerjanku,pekerjaanku
onlinesangat,daring sangat
bail,baik
akunkorban,akun korban
tersesatdan,tersesat dan
gemoy,lucu
reward,penghargaan
tapih,tapi
beriratingaplikasin,beri rating aplikasi
itengahkan,tengahkan
sherloknya,bagikan lokasinya
mengkaitkan,mengaitkan
kapok,jera
pembaruhan,pembaruan
alamt,alamat
jita,kita
mencsri,mencari
ngeluh,mengeluh
altrenatif,alternatif
kadan,kadang
fre,free
bangt,banget
bangetsangat,banget sangat
okbos,oke bos
treak,trek
ngeblang,blank
fi,wi-fi
dobel,ganda
jalangak,jalan tidak
mapterima,peta terima
berguan,berguna
perbaruiya,perbaruinya
maspnya,peta nya
pt,perseroan terbatas
mendowload,mengunduh
mengapdate,memperbarui
didownload,diunduh
males,malas
mengapgreat,memperbarui
terpecaya,terpercaya
stop,berhenti
jogja,yogyakarta
pakain,pakaian
dilokasi,di lokasi
dalm,dalam
bingungperbaiki,bingung perbaiki
routenya,rutenya
nyusahintolong,menyusahkan tolong
jelasmaps,jelas peta
jalanketingalan,jalan ketinggalan
jauhdisuruh,jauh disuruh
tembokmasa,tembok masa
nabrak,menabrak
perbaruhimasak,perbarui masak
gojekemang,gojek memang
bergunatak,berguna tidak
suru,suruh
ege,kamu
jauj,jauh
memudakan,memudahkan
ainya,ai-nya
mengkontrol,mengontrol
software,perangkat lunak
koding,pengodean
kodenyanote,kodenya catatan
kebiasanya,kebiasaannya
pkerja,pekerja
h,jam
bermnfat,bermanfaat
insyalah,insyaallah
forced,dipaksa
ngacoakurasi,kacau akurasi
lokasikmren,lokasi kemarin
wktu,waktu
terusnyesel,terus menyesal
jdinya,jadinya
bukacuma,buka cuma
hapened,happened
couldnt,could not
curent,current
maximtolong,maxim tolong
engkeltruck,engkel truk
sndirimohon,sendiri mohon
bagustetapi,bagus tetapi
airbeserta,air beserta
ketingian,ketinggian
airnyajadi,airnya jadi
telang,telan
jalananrute,jalanan rute
kewarna,ke warna
bangetjalan,banget jalan
msuk,masuk
kgtu,begitu
trsesat,tersesat
aloh,allah
acen,tidak terdeteksi
tepatdan,tepat dan
drivernya,pengemudinya
impruf,peningkatan
persimpel,simpel
ruwed,rumit
bru,baru
inget,ingat
tba,tiba
pantesan,pantas saja
apdetnya,pembaruannya
kpn,kapan
mahalpadahal,mahal padahal
updateudh,perbarui sudah
ii,dua
akomodir,akomodasi
trtap,tetap
perbaikidi,perbaiki di
dena,denah
permaneb,permanen
menjrumuskan,menjerumuskan
cursor,kursor
pombensin,pom bensin
okeh,oke
ngebleng,blank
mobilmobil,mobil-mobil
lvdan,lv dan
sampi,sampai
wae,saja
smarisaviana,smari saviana
tik,titik
akuratarahnya,akurat arahnya
diputarkan,diputar
kenpa,kenapa
goglegogle,google google
mhon,mohon
muterx,mutarnya
ig,instagram
fladafdal,tidak terdeteksi
ketingala,ketinggalan
sumatera,sumatra
dulukenapa,dulu kenapa
yatolong,ya tolong
mblasuhke,menyesatkan
responding,merespons
keran,keren
ginta,ganti
paritselokan,parit selokan
ramahpokok,ramah pokok
dehanak,deh anak
yach,ya
hpus,hapus
tourism,pariwisata
lelelt,lelet
kacauarah,kacau arah
yaini,ya ini
sedikitdan,sedikit dan
tang,datang
city,kota
lemotpanah,lambat panah
bernafigasi,bernavigasi
bugnya,celanya
loker,lowongan kerja
nyasayang,nya sayang
ojoltolong,ojek daring tolong
mapsbanyak,peta banyak
gpsdengan,gps dengan
jogyakarta,yogyakarta
berkonstribusi,berkontribusi
disaat,di saat
perjalanantrimakasih,perjalanan terima kasih
sekalitingkatkan,sekali tingkatkan
nyaaq,nya aku
perboden,verboden
yasagat,ya sangat
bgsd,bangsat
bulak,bolak
udahbaik,sudah baik
record,rekaman
